2018-07-31 00:29:53 status half-installed libtinfo5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:53 status unpacked libtinfo5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:53 status unpacked libtinfo5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:53 install libudev1:arm64 <none> 229-4ubuntu4
2018-07-31 00:29:53 status half-installed libudev1:arm64 229-4ubuntu4
2018-07-31 00:29:53 status unpacked libudev1:arm64 229-4ubuntu4
2018-07-31 00:29:53 status unpacked libudev1:arm64 229-4ubuntu4
2018-07-31 00:29:54 install libustr-1.0-1:arm64 <none> 1.0.4-5
2018-07-31 00:29:54 status half-installed libustr-1.0-1:arm64 1.0.4-5
2018-07-31 00:29:54 status unpacked libustr-1.0-1:arm64 1.0.4-5
2018-07-31 00:29:54 status unpacked libustr-1.0-1:arm64 1.0.4-5
2018-07-31 00:29:54 install libuuid1:arm64 <none> 2.27.1-6ubuntu3
2018-07-31 00:29:54 status half-installed libuuid1:arm64 2.27.1-6ubuntu3
2018-07-31 00:29:54 status unpacked libuuid1:arm64 2.27.1-6ubuntu3
2018-07-31 00:29:54 status unpacked libuuid1:arm64 2.27.1-6ubuntu3
2018-07-31 00:29:54 install locales:all <none> 2.23-0ubuntu3
2018-07-31 00:29:54 status half-installed locales:all 2.23-0ubuntu3
2018-07-31 00:29:56 status unpacked locales:all 2.23-0ubuntu3
2018-07-31 00:29:56 status unpacked locales:all 2.23-0ubuntu3
2018-07-31 00:29:56 install login:arm64 <none> 1:4.2-3.1ubuntu5
2018-07-31 00:29:56 status half-installed login:arm64 1:4.2-3.1ubuntu5
2018-07-31 00:29:57 status unpacked login:arm64 1:4.2-3.1ubuntu5
2018-07-31 00:29:57 status unpacked login:arm64 1:4.2-3.1ubuntu5
2018-07-31 00:29:57 install lsb-base:all <none> 9.20160110
2018-07-31 00:29:57 status half-installed lsb-base:all 9.20160110
2018-07-31 00:29:57 status unpacked lsb-base:all 9.20160110
2018-07-31 00:29:57 status unpacked lsb-base:all 9.20160110
2018-07-31 00:29:57 install makedev:all <none> 2.3.1-93ubuntu1
